Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_09,Site_cam_09_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,3,69,0,72,5,67,0,72,2,70,1,14,58,0,72,0,72,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s1,0,Unburnt,0.69,0,26.39,0,4.17,0,0,709.11,38
Site_cam_10,Site_cam_10_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,0,72,0,72,1,71,1,29,43,0,72,0,72,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s1,0,Unburnt,0.61,0,59.72,1.39,0,0,0,651.28,38
Site_cam_11,Site_cam_11_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,1,71,0,72,0,72,1,71,2,70,1,29,43,2,70,0,72,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s1,0,Unburnt,0.68,0,55.56,2.78,1.39,1.39,0,647.12,37
Site_cam_12,Site_cam_12_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,0,71,1,70,0,71,0,71,1,70,1,13,58,0,71,0,71,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s1,0,Unburnt,0.65,0,23.94,1.41,0,1.41,1.41,614.85,37
Site_cam_13,Site_cam_13_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,1,70,0,71,3,68,0,71,1,70,1,36,35,12,59,12,59,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s1,0,Unburnt,0.62,0,60.56,59.15,1.41,5.63,0,665.58,37
Site_cam_14,Site_cam_14_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,10,61,0,71,0,71,4,67,4,67,1,31,40,1,70,0,71,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,63.38,39.44,16.9,0,0,634.3,37
Site_cam_15,Site_cam_15_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,5,66,0,71,4,67,5,66,2,69,1,24,47,2,69,1,70,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,47.89,1.41,7.04,1.41,0,611.11,37
Site_cam_16,Site_cam_16_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,1,70,0,71,0,71,0,71,1,70,1,21,50,1,70,3,68,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,45.07,1.41,1.41,2.82,0,603.86,37
Site_cam_17,Site_cam_17_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,7,65,0,72,1,71,1,17,55,4,68,5,67,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Unburnt,Unburnt_s1,0,Unburnt,0.67,0,37.5,13.89,0,0,0,727.48,38
Site_cam_18,Site_cam_18_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,3,71,0,74,3,71,1,31,43,9,65,2,72,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,59.46,8.11,0,0,0,708.53,39
Site_cam_19,Site_cam_19_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,0,74,0,74,1,73,1,28,46,1,73,0,74,2,1,3,9,Lowland Forest,5524,93,2741,227,Trail,Slope,2.6,51,Unburnt,Unburnt_s1,0,Unburnt,0.71,0,52.7,5.41,0,0,0,753.55,39
Site_cam_20,Site_cam_20_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,1,73,0,74,0,74,0,30,44,5,69,1,73,2,1,3,9,Heathy Woodland,4834,51,3745,211,Trail,Slope,2.4,44.1,Unburnt,Unburnt_s1,0,Unburnt,0.62,0,59.46,16.22,0,0,0,724.11,39
Site_cam_21,Site_cam_21_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,1,73,0,74,0,74,0,21,53,0,74,0,74,2,2,4,9,Heathy Woodland,4390,77,3141,179,Bush,Slope,3.6,34.2,Unburnt,Unburnt_s1,0,Unburnt,0.68,0,36.49,1.35,0,0,0,665.58,39
Site_cam_22,Site_cam_22_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,0,74,0,74,2,72,1,18,56,0,74,1,73,1,2,3,9,Heathy Woodland,4046,118,2454,120,Bush,Gully,-3.4,-0.8,Unburnt,Unburnt_s1,0,Unburnt,0.72,0,45.95,0,0,0,0,634.3,39
Site_cam_23,Site_cam_23_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,1,73,0,74,0,74,0,12,62,0,74,1,73,1,2,3,9,Heathy Woodland,3749,318,1845,112,Bush,Slope,1.3,21.9,Unburnt,Unburnt_s1,0,Unburnt,0.69,0,22.97,17.57,0,0,0,624.65,39
Site_cam_24,Site_cam_24_s1,1,s1,Before,28/09/2018,10/12/2018,28/09/2018,73,0,73,0,73,1,72,0,73,1,72,1,20,53,0,73,5,68,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Unburnt,Unburnt_s1,0,Unburnt,0.71,0,32.88,0,0,0,0,614.02,37
Site_cam_25,Site_cam_25_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,0,72,0,72,1,71,1,21,51,0,72,0,72,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Unburnt,Unburnt_s1,0,Unburnt,0.73,0,38.89,2.78,0,0,0,780.68,38
Site_cam_26,Site_cam_26_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,1,68,0,69,0,69,0,69,5,64,1,19,50,1,68,1,68,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,42.03,7.25,1.45,4.35,0,764.06,36
Site_cam_27,Site_cam_27_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,0,69,0,69,1,68,1,50,19,2,67,4,65,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s1,0,Unburnt,0.73,0,118.84,2.9,0,14.49,0,677.05,36
Site_cam_28,Site_cam_28_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,1,72,3,70,0,73,0,73,2,71,1,31,42,1,72,0,73,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Unburnt,Unburnt_s1,0,Unburnt,0.63,0,52.05,1.37,1.37,0,4.11,660.79,38
Site_cam_29,Site_cam_29_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,1,72,11,62,2,71,0,73,2,71,1,38,35,3,70,1,72,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s1,0,Unburnt,0.76,0,89.04,1.37,1.37,9.59,15.07,634.01,38
Site_cam_30,Site_cam_30_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,2,71,0,73,0,73,1,72,1,72,1,28,45,0,73,3,70,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Unburnt,Unburnt_s1,0,Unburnt,0.63,0,49.32,1.37,2.74,0,0,653.7,38
Site_cam_31,Site_cam_31_s1,1,s1,Before,29/09/2018,11/12/2018,29/09/2018,73,0,73,0,73,6,67,0,73,2,71,1,33,40,0,73,3,70,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s1,0,Unburnt,0.68,0,61.64,2.74,0,0,0,624.65,38
Site_cam_32,Site_cam_32_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,1,68,0,69,0,69,0,22,47,1,68,1,68,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s1,0,Unburnt,0.74,0,37.68,4.35,0,0,0,739.22,36
Site_cam_33,Site_cam_33_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,4,65,0,69,3,66,1,32,37,0,69,0,69,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,84.06,14.49,0,0,0,730.01,36
Site_cam_34,Site_cam_34_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,7,62,0,69,0,69,0,20,49,0,69,0,69,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Unburnt,Unburnt_s1,0,Unburnt,0.6,0,50.72,8.7,0,0,0,639.44,36
Site_cam_35,Site_cam_35_s1,1,s1,Before,3/10/2018,11/12/2018,3/10/2018,69,0,69,0,69,2,67,0,69,2,67,1,23,46,0,69,0,69,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s1,0,Unburnt,0.71,0,49.28,0,0,0,0,660.22,36
Site_cam_36,Site_cam_36_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,0,71,0,71,0,71,0,71,6,65,1,23,48,0,71,12,59,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s1,0,Unburnt,0.72,0,47.89,5.63,0,21.13,42.25,587.57,38
Site_cam_37,Site_cam_37_s1,1,s1,Before,30/09/2018,11/12/2018,30/09/2018,72,0,72,2,70,0,72,0,72,1,71,1,6,66,0,72,0,72,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s1,0,Unburnt,0.71,0,8.33,0,0,2.78,2.78,626.79,38
Site_cam_38,Site_cam_38_s1,1,s1,Before,30/09/2018,11/12/2018,30/09/2018,72,1,71,6,66,0,72,0,72,2,70,1,12,60,0,72,0,72,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s1,0,Unburnt,0.63,0,22.22,18.06,1.39,1.39,8.33,598.53,38
Site_cam_09,Site_cam_09_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,0,63,0,63,1,62,0,63,0,63,0,14,49,0,63,14,49,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s2,0,Unburnt,0.69,0,28.57,3.17,0,0,0,578.61,33
Site_cam_10,Site_cam_10_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,2,61,0,63,3,60,2,61,0,63,0,19,44,0,63,3,60,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s2,0,Unburnt,0.61,0,39.68,1.59,3.17,3.17,0,533.43,33
Site_cam_11,Site_cam_11_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,6,57,0,63,0,63,6,57,0,63,0,14,49,0,63,0,63,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s2,0,Unburnt,0.68,0,23.81,0,9.52,3.17,0,531.02,33
Site_cam_12,Site_cam_12_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,0,63,6,57,1,62,0,63,0,63,0,19,44,0,63,0,63,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s2,0,Unburnt,0.65,0,36.51,3.17,0,7.94,9.52,498.08,33
Site_cam_13,Site_cam_13_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,2,61,1,62,2,61,0,63,0,63,0,13,50,12,51,1,62,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s2,0,Unburnt,0.62,0,26.98,63.49,3.17,4.76,1.59,539.45,33
Site_cam_14,Site_cam_14_s2,2,s2,Before,5/02/2019,9/04/2019,5/02/2019,63,4,59,3,60,0,63,3,60,0,63,0,25,38,1,62,0,63,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s2,0,Unburnt,0.7,0,58.73,7.94,6.35,6.35,4.76,509.52,33
Site_cam_15,Site_cam_15_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,0,64,0,64,1,63,0,64,1,63,1,13,51,0,64,0,64,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s2,0,Unburnt,0.66,0,23.44,12.5,0,6.25,0,487.27,34
Site_cam_16,Site_cam_16_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,1,63,1,63,1,63,0,64,2,62,1,2,62,0,64,0,64,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s2,0,Unburnt,0.7,0,4.69,17.19,1.56,3.13,1.56,479.91,34
Site_cam_17,Site_cam_17_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,2,63,0,65,0,65,0,16,49,0,65,0,65,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Unburnt,Unburnt_s2,0,Unburnt,0.67,0,36.92,4.62,0,4.62,0,602.68,34
Site_cam_18,Site_cam_18_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,2,63,0,65,0,65,0,25,40,1,64,1,64,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Unburnt,Unburnt_s2,0,Unburnt,0.7,0,44.62,0,0,0,0,582.4,34
Site_cam_19,Site_cam_19_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,0,65,0,65,1,64,1,13,52,1,64,2,63,2,1,3,9,Lowland Forest,5524,93,2741,227,Trail,Slope,2.6,51,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,26.15,18.46,0,0,0,610.19,34
Site_cam_20,Site_cam_20_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,2,63,0,65,0,65,0,65,0,25,40,0,65,1,64,2,1,3,9,Heathy Woodland,4834,51,3745,211,Trail,Slope,2.4,44.1,Unburnt,Unburnt_s2,0,Unburnt,0.62,0,55.38,13.85,0,10.77,3.08,586.88,34
Site_cam_21,Site_cam_21_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,8,57,0,65,0,65,0,65,0,65,0,25,40,0,65,0,65,2,2,4,9,Heathy Woodland,4390,77,3141,179,Bush,Slope,3.6,34.2,Unburnt,Unburnt_s2,0,Unburnt,0.68,0,41.54,0,12.31,1.54,0,539.45,34
Site_cam_22,Site_cam_22_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,0,65,0,65,0,65,0,17,48,0,65,0,65,1,2,3,9,Heathy Woodland,4046,118,2454,120,Bush,Gully,-3.4,-0.8,Unburnt,Unburnt_s2,0,Unburnt,0.72,0,30.77,6.15,0,0,0,509.52,34
Site_cam_23,Site_cam_23_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,4,61,0,65,0,65,0,16,49,0,65,0,65,1,2,3,9,Heathy Woodland,3749,318,1845,112,Bush,Slope,1.3,21.9,Unburnt,Unburnt_s2,0,Unburnt,0.69,0,35.38,13.85,0,0,0,500.01,34
Site_cam_24,Site_cam_24_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,2,63,1,64,0,65,0,65,0,9,56,0,65,0,65,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,18.46,9.23,0,1.54,3.08,490.11,34
Site_cam_25,Site_cam_25_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,8,57,0,65,0,65,1,64,1,32,33,0,65,0,65,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Unburnt,Unburnt_s2,0,Unburnt,0.73,0,75.38,3.08,0,6.15,16.92,642.33,34
Site_cam_26,Site_cam_26_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,2,62,1,63,0,64,0,64,1,63,1,14,50,0,64,2,62,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Unburnt,Unburnt_s2,0,Unburnt,0.66,0,26.56,10.94,3.13,7.81,1.56,625.26,34
