Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_27,Site_cam_27_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,0,65,1,64,0,65,0,65,0,28,37,0,65,0,65,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s2,0,Unburnt,0.73,0,52.31,0,0,1.54,0,552.78,34
Site_cam_28,Site_cam_28_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,1,64,0,65,0,65,1,64,1,21,44,0,65,0,65,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,40,4.62,0,1.54,1.54,536.85,34
Site_cam_29,Site_cam_29_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,6,59,0,65,0,65,0,65,0,26,39,0,65,0,65,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s2,0,Unburnt,0.76,0,56.92,0,0,9.23,12.31,513.61,34
Site_cam_30,Site_cam_30_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,4,61,2,63,0,65,2,63,0,65,0,21,44,0,65,0,65,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,44.62,3.08,6.15,10.77,3.08,525.41,34
Site_cam_31,Site_cam_31_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,0,65,9,56,0,65,1,64,1,39,26,0,65,0,65,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s2,0,Unburnt,0.68,0,106.15,0,1.54,3.08,0,500.01,34
Site_cam_32,Site_cam_32_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,0,65,0,65,2,63,0,65,0,65,0,13,52,0,65,1,64,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s2,0,Unburnt,0.74,0,26.15,4.62,0,3.08,0,607.41,34
Site_cam_33,Site_cam_33_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,1,64,2,63,0,65,0,65,0,12,53,2,63,0,65,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Unburnt,Unburnt_s2,0,Unburnt,0.66,0,26.15,46.15,1.54,0,1.54,593.27,34
Site_cam_34,Site_cam_34_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,0,64,0,64,5,59,0,64,0,64,0,21,43,2,62,3,61,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Unburnt,Unburnt_s2,0,Unburnt,0.6,0,48.44,3.13,0,0,0,519.2,34
Site_cam_35,Site_cam_35_s2,2,s2,Before,4/02/2019,9/04/2019,4/02/2019,64,4,60,3,61,0,64,0,64,1,63,1,22,42,0,64,5,59,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,45.31,0,6.25,6.25,4.69,535.27,34
Site_cam_36,Site_cam_36_s2,2,s2,Before,3/02/2019,9/04/2019,3/02/2019,65,1,64,0,65,0,65,0,65,4,61,1,15,50,0,65,1,64,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s2,0,Unburnt,0.72,0,26.15,0,1.54,30.77,32.31,474.52,34
Site_cam_37,Site_cam_37_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,0,65,0,65,0,65,0,65,0,65,0,2,63,0,65,1,64,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s2,0,Unburnt,0.71,0,3.08,0,0,3.08,0,511.4,34
Site_cam_38,Site_cam_38_s2,2,s2,Before,4/02/2019,10/04/2019,4/02/2019,65,1,64,2,63,0,65,0,65,0,65,0,3,62,0,65,5,60,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s2,0,Unburnt,0.63,0,6.15,10.77,1.54,12.31,3.08,485.86,34
Site_cam_09,Site_cam_09_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,3,62,0,65,1,64,1,8,57,3,62,18,47,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s3,686,Unburnt,0.69,0,18.46,1.54,0,0,0,578.61,34
Site_cam_10,Site_cam_10_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,0,65,0,65,0,65,0,8,57,0,65,0,65,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s3,534,Unburnt,0.61,0,12.31,0,0,1.54,0,533.43,34
Site_cam_11,Site_cam_11_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,6,59,0,65,0,65,5,60,0,65,0,20,45,0,65,0,65,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s3,539,Unburnt,0.68,0,38.46,0,10.77,0,0,531.02,34
Site_cam_12,Site_cam_12_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,0,65,0,65,1,64,1,7,58,0,65,0,65,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s3,421,Unburnt,0.65,0,10.77,1.54,0,0,0,498.08,34
Site_cam_13,Site_cam_13_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,1,64,0,65,0,65,0,65,0,5,60,5,60,1,64,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s3,726,Unburnt,0.62,0,7.69,12.31,0,0,1.54,539.45,34
Site_cam_14,Site_cam_14_s3,3,s3,After,30/05/2019,1/08/2019,30/05/2019,63,15,48,2,61,0,63,0,63,0,63,0,17,46,0,63,0,63,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s3,776,Unburnt,0.7,0,28.57,3.17,30.16,6.35,3.17,509.52,33
Site_cam_15,Site_cam_15_s3,3,s3,After,30/05/2019,1/08/2019,30/05/2019,63,0,63,0,63,0,63,0,63,3,60,1,19,44,0,63,2,61,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s3,541,Unburnt,0.66,0,30.16,1.59,0,0,0,487.27,33
Site_cam_16,Site_cam_16_s3,3,s3,After,30/05/2019,1/08/2019,30/05/2019,63,1,62,0,63,0,63,0,63,0,63,0,6,57,1,62,6,57,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s3,382,Unburnt,0.7,0,9.52,41.27,1.59,0,0,479.91,33
Site_cam_17,Site_cam_17_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,2,63,0,65,0,65,0,13,52,1,64,1,64,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Burnt,Burnt_s3,-2,Low,0.67,36.4,27.69,1.54,0,0,0,602.68,34
Site_cam_18,Site_cam_18_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,3,62,0,65,1,64,1,33,32,1,64,3,62,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Burnt,Burnt_s3,-13,Low,0.7,60.2,69.23,1.54,0,0,0,582.4,34
Site_cam_19,Site_cam_19_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,1,64,0,65,0,65,0,65,1,64,1,28,37,3,62,3,62,2,1,3,9,Lowland Forest,5524,93,2741,227,Trail,Slope,2.6,51,Unburnt,Unburnt_s3,106,Unburnt,0.71,1.6,53.85,0,1.54,0,0,610.19,34
Site_cam_20,Site_cam_20_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,4,61,0,65,0,65,0,65,0,7,58,2,63,1,64,2,1,3,9,Heathy Woodland,4834,51,3745,211,Trail,Slope,2.4,44.1,Burnt,Burnt_s3,-42,High,0.62,57.7,12.31,4.62,0,1.54,6.15,586.88,34
Site_cam_21,Site_cam_21_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,5,60,1,64,0,65,0,65,0,65,0,8,57,0,65,0,65,2,2,4,9,Heathy Woodland,4390,77,3141,179,Bush,Slope,3.6,34.2,Burnt,Burnt_s3,-29,Non-forest burnt,0.68,33.7,12.31,15.38,7.69,4.62,1.54,539.45,34
Site_cam_22,Site_cam_22_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,0,65,0,65,1,64,1,19,46,1,64,1,64,1,2,3,9,Heathy Woodland,4046,118,2454,120,Bush,Gully,-3.4,-0.8,Unburnt,Unburnt_s3,96,Unburnt,0.72,7.4,32.31,0,0,0,0,509.52,34
Site_cam_23,Site_cam_23_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,0,65,0,65,2,63,0,65,0,65,0,3,62,0,65,1,64,1,2,3,9,Heathy Woodland,3749,318,1845,112,Bush,Slope,1.3,21.9,Burnt,Burnt_s3,-108,Non-forest burnt,0.69,94.5,10.77,50.77,0,0,0,500.01,34
Site_cam_24,Site_cam_24_s3,3,s3,After,27/05/2019,1/08/2019,27/05/2019,66,0,66,2,64,1,65,0,66,2,64,1,11,55,0,66,2,64,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Burnt,Burnt_s3,-12,Low,0.71,77.3,19.7,3.03,0,1.52,3.03,490.11,34
Site_cam_25,Site_cam_25_s3,3,s3,After,29/05/2019,1/08/2019,29/05/2019,64,0,64,8,56,0,64,0,64,0,64,0,16,48,0,64,1,63,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Burnt,Burnt_s3,-13,Non-forest burnt,0.73,36.6,26.56,28.13,0,1.56,12.5,642.33,34
Site_cam_26,Site_cam_26_s3,3,s3,After,1/06/2019,1/08/2019,1/06/2019,61,0,61,1,60,1,60,0,61,1,60,1,21,40,0,61,2,59,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Burnt,Burnt_s3,-2,Non-forest burnt,0.66,10.8,40.98,39.34,0,6.56,1.64,625.26,32
Site_cam_27,Site_cam_27_s3,3,s3,After,31/05/2019,1/08/2019,31/05/2019,62,1,61,1,61,1,61,0,62,0,62,0,21,41,1,61,0,62,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s3,120,Unburnt,0.73,2.2,40.32,0,3.23,0,1.61,552.78,33
Site_cam_28,Site_cam_28_s3,3,s3,After,31/05/2019,1/08/2019,31/05/2019,62,0,62,0,62,1,61,0,62,1,61,1,10,52,2,60,0,62,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Burnt,Burnt_s3,-99,High,0.63,79.9,24.19,16.13,0,0,0,536.85,33
Site_cam_29,Site_cam_29_s3,3,s3,After,31/05/2019,1/08/2019,31/05/2019,62,1,61,0,62,0,62,0,62,0,62,0,10,52,0,62,2,60,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s3,90,Unburnt,0.76,9.6,17.74,6.45,1.61,0,0,513.61,33
Site_cam_30,Site_cam_30_s3,3,s3,After,30/05/2019,1/08/2019,30/05/2019,63,2,61,2,61,1,62,1,62,0,63,0,14,49,0,63,3,60,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Burnt,Burnt_s3,-36,High,0.63,30.4,26.98,22.22,3.17,0,3.17,525.41,33
Site_cam_31,Site_cam_31_s3,3,s3,After,29/05/2019,1/08/2019,29/05/2019,64,0,64,2,62,0,64,0,64,1,63,1,15,49,0,64,3,61,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s3,71,Unburnt,0.68,9,29.69,1.56,0,0,3.13,500.01,34
Site_cam_32,Site_cam_32_s3,3,s3,After,29/05/2019,1/08/2019,29/05/2019,64,0,64,0,64,2,62,0,64,1,63,1,14,50,0,64,2,62,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s3,718,Unburnt,0.74,0,26.56,0,0,0,0,607.41,34
Site_cam_33,Site_cam_33_s3,3,s3,After,29/05/2019,1/08/2019,29/05/2019,64,0,64,0,64,0,64,0,64,0,64,0,21,43,2,62,0,64,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Burnt,Burnt_s3,-24,High,0.66,60.9,37.5,26.56,0,0,0,593.27,34
Site_cam_34,Site_cam_34_s3,3,s3,After,31/05/2019,1/08/2019,31/05/2019,62,0,62,0,62,2,60,0,62,0,62,0,10,52,0,62,3,59,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Burnt,Burnt_s3,-6,High,0.6,69.3,22.58,29.03,0,1.61,0,519.2,33
Site_cam_35,Site_cam_35_s3,3,s3,After,1/06/2019,1/08/2019,1/06/2019,61,0,61,1,60,0,61,0,61,0,61,0,15,46,0,61,3,58,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s3,459,Unburnt,0.71,0,31.15,4.92,0,0,1.64,535.27,32
Site_cam_36,Site_cam_36_s3,3,s3,After,28/05/2019,1/08/2019,28/05/2019,65,6,59,1,64,0,65,0,65,0,65,0,18,47,2,63,2,63,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s3,919,Unburnt,0.72,0,29.23,13.85,9.23,0,3.08,474.52,34
Site_cam_37,Site_cam_37_s3,3,s3,After,29/05/2019,1/08/2019,29/05/2019,64,0,64,1,63,0,64,0,64,1,63,1,2,62,0,64,3,61,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s3,814,Unburnt,0.71,0,3.13,1.56,0,0,1.56,511.4,34
Site_cam_38,Site_cam_38_s3,3,s3,After,1/06/2019,1/08/2019,1/06/2019,61,0,61,1,60,0,61,0,61,0,61,0,4,57,0,61,5,56,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s3,1184,Unburnt,0.63,0,6.56,3.28,0,0,1.64,485.86,32
Site_cam_09,Site_cam_09_s4,4,s4,After,1/08/2019,4/10/2019,28/08/2019,64,0,64,0,64,2,62,0,64,0,64,0,7,57,0,64,11,53,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s4,686,Unburnt,0.72,0,14.06,14.06,0,0,0,578.61,45
Site_cam_10,Site_cam_10_s4,4,s4,After,1/08/2019,4/10/2019,29/08/2019,64,0,64,1,63,1,63,0,64,1,63,1,7,57,0,64,0,64,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s4,534,Unburnt,0.62,0,12.5,1.56,0,0,3.13,533.43,46
Site_cam_11,Site_cam_11_s4,4,s4,After,1/08/2019,4/10/2019,29/08/2019,64,2,62,1,63,0,64,2,62,2,62,1,22,42,0,64,1,63,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s4,539,Unburnt,0.69,0,45.31,12.5,3.13,0,1.56,531.02,46
Site_cam_12,Site_cam_12_s4,4,s4,After,1/08/2019,4/10/2019,29/08/2019,64,0,64,0,64,2,62,0,64,0,64,0,7,57,0,64,0,64,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s4,421,Unburnt,0.65,0,14.06,4.69,0,1.56,0,498.08,46
Site_cam_13,Site_cam_13_s4,4,s4,After,1/08/2019,4/10/2019,29/08/2019,64,1,63,0,64,2,62,0,64,1,63,1,8,56,5,59,9,55,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s4,726,Unburnt,0.64,0,17.19,32.81,1.56,0,0,539.45,46
Site_cam_14,Site_cam_14_s4,4,s4,After,1/08/2019,4/10/2019,29/08/2019,64,12,52,2,62,2,62,3,61,0,64,0,21,43,0,64,2,62,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s4,776,Unburnt,0.73,0,39.06,21.88,18.75,6.25,3.13,509.52,45
Site_cam_15,Site_cam_15_s4,4,s4,After,1/08/2019,4/10/2019,30/08/2019,64,0,64,0,64,1,63,0,64,4,60,1,20,44,1,63,5,59,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s4,541,Unburnt,0.69,0,35.94,37.5,0,0,0,487.27,46
Site_cam_16,Site_cam_16_s4,4,s4,After,1/08/2019,4/10/2019,28/08/2019,64,0,64,0,64,1,63,0,64,0,64,0,7,57,1,63,1,63,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s4,382,Unburnt,0.72,0,14.06,9.38,0,1.56,0,479.91,44
