Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_17,Site_cam_17_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,2,62,1,63,0,64,1,63,1,13,51,0,64,2,62,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Burnt,Burnt_s4,-2,Low,0.67,36.4,21.88,15.63,0,0,3.13,602.68,43
Site_cam_18,Site_cam_18_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,0,64,3,61,0,64,0,64,0,17,47,0,64,4,60,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Burnt,Burnt_s4,-13,Low,0.7,60.2,34.38,10.94,0,1.56,0,582.4,43
Site_cam_19,Site_cam_19_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,1,63,1,63,0,64,2,62,1,9,55,5,59,1,63,2,1,3,9,Lowland Forest,5524,93,2741,227,Trail,Slope,2.6,51,Unburnt,Unburnt_s4,106,Unburnt,0.74,1.6,17.19,10.94,0,0,1.56,610.19,43
Site_cam_20,Site_cam_20_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,1,63,3,61,0,64,1,63,1,12,52,0,64,0,64,2,1,3,9,Heathy Woodland,4834,51,3745,211,Trail,Slope,2.4,44.1,Burnt,Burnt_s4,-42,High,0.57,57.7,28.13,15.63,0,1.56,1.56,586.88,43
Site_cam_21,Site_cam_21_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,2,62,0,64,2,62,0,64,0,64,0,9,55,0,64,0,64,2,2,4,9,Heathy Woodland,4390,77,3141,179,Bush,Slope,3.6,34.2,Burnt,Burnt_s4,-29,Non-forest burnt,0.67,33.7,18.75,9.38,3.13,7.81,0,539.45,43
Site_cam_22,Site_cam_22_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,1,63,0,64,2,62,0,64,1,63,1,11,53,1,63,1,63,1,2,3,9,Heathy Woodland,4046,118,2454,120,Bush,Gully,-3.4,-0.8,Unburnt,Unburnt_s4,96,Unburnt,0.74,7.4,20.31,1.56,1.56,0,0,509.52,43
Site_cam_23,Site_cam_23_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,0,64,7,57,0,64,0,64,0,4,60,0,64,1,63,1,2,3,9,Heathy Woodland,3749,318,1845,112,Bush,Slope,1.3,21.9,Burnt,Burnt_s4,-108,Non-forest burnt,0.64,94.5,20.31,264.06,0,0,0,500.01,43
Site_cam_24,Site_cam_24_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,0,64,2,62,0,64,0,64,0,14,50,0,64,1,63,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Burnt,Burnt_s4,-12,Low,0.75,77.3,26.56,6.25,0,0,0,490.11,44
Site_cam_25,Site_cam_25_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,0,64,4,60,0,64,0,64,0,64,0,13,51,0,64,0,64,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Burnt,Burnt_s4,-13,Non-forest burnt,0.67,36.6,23.44,34.38,0,0,6.25,642.33,43
Site_cam_26,Site_cam_26_s4,4,s4,After,1/08/2019,4/10/2019,28/08/2019,64,0,64,0,64,1,63,0,64,0,64,0,33,31,0,64,1,63,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Burnt,Burnt_s4,-2,Non-forest burnt,0.64,10.8,75,23.44,0,0,0,625.26,43
Site_cam_27,Site_cam_27_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,3,61,0,64,0,64,2,62,0,64,0,10,54,1,63,0,64,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s4,120,Unburnt,0.72,2.2,21.88,0,6.25,0,0,552.78,44
Site_cam_28,Site_cam_28_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,0,64,6,58,0,64,0,64,0,14,50,0,64,2,62,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Burnt,Burnt_s4,-99,High,0.54,79.9,31.25,3.13,0,0,0,536.85,44
Site_cam_29,Site_cam_29_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,1,63,27,37,0,64,0,64,1,63,1,14,50,0,64,0,64,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s4,90,Unburnt,0.8,9.6,28.13,14.06,1.56,1.56,73.44,513.61,44
Site_cam_30,Site_cam_30_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,2,62,0,64,0,64,2,62,1,23,41,0,64,0,64,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Burnt,Burnt_s4,-36,High,0.56,30.4,40.63,10.94,0,0,3.13,525.41,45
Site_cam_31,Site_cam_31_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,0,64,2,62,0,64,2,62,1,10,54,0,64,1,63,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s4,71,Unburnt,0.71,9,23.44,1.56,0,0,1.56,500.01,45
Site_cam_32,Site_cam_32_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,1,63,0,64,0,64,0,64,0,64,0,14,50,0,64,2,62,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s4,718,Unburnt,0.75,0,25,1.56,1.56,0,0,607.41,45
Site_cam_33,Site_cam_33_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,0,64,5,59,0,64,1,63,1,19,45,1,63,3,61,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Burnt,Burnt_s4,-24,High,0.62,60.9,48.44,26.56,0,0,0,593.27,45
Site_cam_34,Site_cam_34_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,0,64,4,60,0,64,0,64,0,13,51,0,64,0,64,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Burnt,Burnt_s4,-6,High,0.54,69.3,29.69,40.63,0,0,0,519.2,44
Site_cam_35,Site_cam_35_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,2,62,1,63,0,64,0,64,0,64,0,18,46,1,63,0,64,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s4,459,Unburnt,0.76,0,34.38,1.56,3.13,0,1.56,535.27,44
Site_cam_36,Site_cam_36_s4,4,s4,After,1/08/2019,4/10/2019,26/08/2019,64,14,50,2,62,0,64,0,64,0,64,0,7,57,3,61,1,63,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s4,919,Unburnt,0.76,0,15.63,26.56,23.44,0,35.94,474.52,44
Site_cam_37,Site_cam_37_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,0,64,0,64,0,64,0,64,0,64,0,1,63,0,64,1,63,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s4,814,Unburnt,0.73,0,3.13,12.5,0,0,0,511.4,43
Site_cam_38,Site_cam_38_s4,4,s4,After,1/08/2019,4/10/2019,27/08/2019,64,1,63,0,64,0,64,0,64,0,64,0,8,56,0,64,4,60,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s4,1184,Unburnt,0.73,0,14.06,0,1.56,0,0,485.86,42
Site_cam_09,Site_cam_09_s5,5,s5,After,4/10/2019,6/12/2019,28/08/2019,63,0,63,0,63,13,50,0,63,0,63,0,10,53,2,61,18,45,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s5,686,Unburnt,0.72,0,41.27,31.75,0,0,0,578.61,72
Site_cam_10,Site_cam_10_s5,5,s5,After,4/10/2019,6/12/2019,29/08/2019,63,0,63,1,62,4,59,0,63,0,63,0,20,43,0,63,2,61,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s5,534,Unburnt,0.62,0,47.62,1.59,0,0,1.59,533.43,71
Site_cam_11,Site_cam_11_s5,5,s5,After,4/10/2019,6/12/2019,29/08/2019,63,0,63,0,63,0,63,0,63,2,61,1,18,45,1,62,0,63,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s5,539,Unburnt,0.69,0,31.75,9.52,0,0,0,531.02,71
Site_cam_12,Site_cam_12_s5,5,s5,After,4/10/2019,6/12/2019,29/08/2019,63,0,63,0,63,2,61,0,63,1,62,1,18,45,0,63,0,63,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s5,421,Unburnt,0.65,0,46.03,1.59,0,4.76,0,498.08,71
Site_cam_13,Site_cam_13_s5,5,s5,After,4/10/2019,6/12/2019,29/08/2019,63,4,59,0,63,2,61,0,63,1,62,1,18,45,4,59,5,58,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s5,726,Unburnt,0.64,0,36.51,66.67,6.35,0,0,539.45,71
Site_cam_14,Site_cam_14_s5,5,s5,After,4/10/2019,6/12/2019,29/08/2019,63,4,59,0,63,1,62,1,62,1,62,1,32,31,0,63,1,62,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s5,776,Unburnt,0.73,0,66.67,76.19,6.35,1.59,0,509.52,71
Site_cam_15,Site_cam_15_s5,5,s5,After,4/10/2019,6/12/2019,30/08/2019,63,0,63,0,63,1,62,0,63,2,61,1,15,48,2,61,1,62,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s5,541,Unburnt,0.69,0,30.16,39.68,0,0,0,487.27,70
Site_cam_16,Site_cam_16_s5,5,s5,After,4/10/2019,6/12/2019,28/08/2019,63,2,61,0,63,1,62,0,63,0,63,0,1,62,0,63,0,63,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s5,382,Unburnt,0.72,0,3.17,14.29,3.17,0,0,479.91,72
Site_cam_17,Site_cam_17_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,4,60,0,64,0,64,0,20,44,2,62,0,64,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Burnt,Burnt_s5,-2,Low,0.67,36.4,45.31,32.81,0,1.56,0,602.68,74
Site_cam_18,Site_cam_18_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,10,54,0,64,1,63,1,18,46,0,64,3,61,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Burnt,Burnt_s5,-13,Low,0.7,60.2,53.13,4.69,0,0,0,582.4,74
Site_cam_19,Site_cam_19_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,5,59,0,64,2,62,1,13,51,2,62,1,63,2,1,3,9,Lowland Forest,5524,93,2741,227,Trail,Slope,2.6,51,Unburnt,Unburnt_s5,106,Unburnt,0.74,1.6,31.25,29.69,0,0,0,610.19,74
Site_cam_20,Site_cam_20_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,6,58,0,64,0,64,0,16,48,0,64,6,58,2,1,3,9,Heathy Woodland,4834,51,3745,211,Trail,Slope,2.4,44.1,Burnt,Burnt_s5,-42,High,0.57,57.7,35.94,76.56,0,3.13,0,586.88,74
Site_cam_21,Site_cam_21_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,5,59,0,64,1,63,0,64,0,64,0,20,44,1,63,1,63,2,2,4,9,Heathy Woodland,4390,77,3141,179,Bush,Slope,3.6,34.2,Burnt,Burnt_s5,-29,Non-forest burnt,0.67,33.7,34.38,14.06,7.81,1.56,0,539.45,74
Site_cam_22,Site_cam_22_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,0,64,0,64,1,63,1,6,58,0,64,0,64,1,2,3,9,Heathy Woodland,4046,118,2454,120,Bush,Gully,-3.4,-0.8,Unburnt,Unburnt_s5,96,Unburnt,0.74,7.4,12.5,4.69,0,0,0,509.52,74
Site_cam_23,Site_cam_23_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,0,64,5,59,0,64,0,64,0,12,52,0,64,0,64,1,2,3,9,Heathy Woodland,3749,318,1845,112,Bush,Slope,1.3,21.9,Burnt,Burnt_s5,-108,Non-forest burnt,0.64,94.5,34.38,101.56,0,1.56,0,500.01,74
Site_cam_24,Site_cam_24_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,1,63,1,63,0,64,0,64,0,27,37,1,63,0,64,1,2,3,9,Heathy Woodland,2888,145,1008,69,Bush,Slope,-0.2,-2.4,Burnt,Burnt_s5,-12,Low,0.75,77.3,57.81,1.56,0,0,1.56,490.11,74
Site_cam_25,Site_cam_25_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,0,64,2,62,0,64,0,64,0,64,0,28,36,0,64,0,64,3,1,4,9,Heathy Woodland,5321,75,2574,248,Bush,Ridgeline,-0.1,28.4,Burnt,Burnt_s5,-13,Non-forest burnt,0.67,36.6,64.06,6.25,0,0,3.13,642.33,74
Site_cam_26,Site_cam_26_s5,5,s5,After,4/10/2019,7/12/2019,28/08/2019,64,0,64,0,64,5,59,0,64,0,64,0,30,34,1,63,1,63,3,1,4,9,Heathy Woodland,4996,521,2615,222,Bush,Ridgeline,1.5,14.4,Burnt,Burnt_s5,-2,Non-forest burnt,0.64,10.8,81.25,20.31,0,0,0,625.26,72
Site_cam_27,Site_cam_27_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,0,64,0,64,1,63,0,64,0,64,0,15,49,1,63,1,63,3,1,4,9,Swampy Riparian Woodland,4541,550,2676,137,Bush,Gully,-8.7,-48.2,Unburnt,Unburnt_s5,120,Unburnt,0.72,2.2,28.13,0,0,0,0,552.78,71
Site_cam_28,Site_cam_28_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,0,64,0,64,7,57,0,64,0,64,0,17,47,0,64,2,62,3,1,4,9,Heathy Woodland,4150,391,2782,179,Bush,Ridgeline,1.8,26,Burnt,Burnt_s5,-99,High,0.54,79.9,42.19,15.63,0,0,0,536.85,71
Site_cam_29,Site_cam_29_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,1,63,5,59,0,64,0,64,2,62,1,18,46,0,64,3,61,2,1,3,9,Swampy Riparian Woodland,3553,56,2665,56,Bush,Gully,-3.9,-59.8,Unburnt,Unburnt_s5,90,Unburnt,0.8,9.6,40.63,9.38,1.56,3.13,7.81,513.61,71
Site_cam_30,Site_cam_30_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,1,63,2,62,1,63,0,64,1,63,1,25,39,0,64,0,64,1,1,2,9,Heathy Woodland,3261,307,1951,125,Bush,Ridgeline,4.1,35.1,Burnt,Burnt_s5,-36,High,0.56,30.4,60.94,21.88,1.56,0,3.13,525.41,71
Site_cam_31,Site_cam_31_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,2,62,1,63,9,55,0,64,3,61,1,21,43,0,64,0,64,1,1,2,9,Heathy Woodland,3028,244,1193,70,Bush,Slope,2,-9.7,Unburnt,Unburnt_s5,71,Unburnt,0.71,9,56.25,7.81,3.13,0,0,500.01,71
Site_cam_32,Site_cam_32_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,1,63,0,64,0,64,0,64,2,62,1,14,50,0,64,1,63,3,1,4,12,Lowland Forest,4200,115,1797,234,Bush,Ridgeline,-0.2,27,Unburnt,Unburnt_s5,718,Unburnt,0.75,0,31.25,9.38,1.56,0,0,607.41,71
Site_cam_33,Site_cam_33_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,0,64,0,64,14,50,0,64,4,60,1,22,42,0,64,4,60,3,1,4,9,Heathy Woodland,3891,87,1824,228,Trail,Slope,1,41.2,Burnt,Burnt_s5,-24,High,0.62,60.9,67.19,234.38,0,0,0,593.27,71
Site_cam_34,Site_cam_34_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,0,64,0,64,10,54,0,64,0,64,0,16,48,0,64,0,64,3,1,4,9,Heathy Woodland,3399,54,1876,208,Bush,Slope,0.1,50.5,Burnt,Burnt_s5,-6,High,0.54,69.3,48.44,57.81,0,0,0,519.2,71
Site_cam_35,Site_cam_35_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,5,59,0,64,7,57,0,64,0,64,0,16,48,0,64,0,64,1,2,3,9,Dry Forest,2836,231,1800,108,Bush,Slope,0.1,5.1,Unburnt,Unburnt_s5,459,Unburnt,0.76,0,50,3.13,7.81,0,0,535.27,71
Site_cam_36,Site_cam_36_s5,5,s5,After,4/10/2019,7/12/2019,26/08/2019,64,14,50,0,64,0,64,0,64,1,63,1,21,43,3,61,2,62,1,1,2,9,Swampy Riparian Woodland,2149,42,1329,24,Bush,Gully,0,-32.7,Unburnt,Unburnt_s5,919,Unburnt,0.76,0,46.88,20.31,23.44,0,10.94,474.52,73
Site_cam_37,Site_cam_37_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,1,63,0,64,0,64,0,64,0,64,0,2,62,0,64,3,61,2,0,2,36,Lowland Forest,2591,26,904,88,Bush,Slope,-0.8,-27.3,Unburnt,Unburnt_s5,814,Unburnt,0.73,0,4.69,7.81,1.56,0,0,511.4,74
Site_cam_38,Site_cam_38_s5,5,s5,After,4/10/2019,7/12/2019,27/08/2019,64,0,64,0,64,1,63,0,64,0,64,0,15,49,0,64,0,64,1,0,1,36,Dry Forest,2079,38,900,83,Bush,Slope,4.1,12.3,Unburnt,Unburnt_s5,1184,Unburnt,0.73,0,26.56,21.88,0,0,0,485.86,74
